vendor_id,vendor_name,capacity_contract_ratio,subcontract_share,yard_footprint_log,tech_staff_per_m,jqs_depth,expat_ratio,ncdf_compliance,prior_delivery,is_front
V0001,Westfield Energy Services Ltd.,0.811,0.232,4.305,2.801,6.206,0.473,0.878,5.0,0
V0002,Crestline Petroleum Nig. Ltd.,1.154,0.188,3.865,1.849,9.215,0.297,0.844,6.0,0
V0003,Crestline Integrated Systems Ltd.,1.393,0.537,1.843,1.342,7.028,0.179,0.61,2.0,0
V0004,Oceanic Engineering Group Ltd.,0.922,0.642,2.764,3.218,11.504,0.115,0.727,4.0,0
V0005,Trident Integrated Group Ltd.,0.532,0.362,3.619,2.593,7.881,0.101,0.479,1.0,1
V0006,Beacon Subsea Ltd.,0.517,0.397,3.251,6.62,2.099,0.326,0.959,4.0,0
V0007,Meridian Process Nig. Ltd.,0.479,0.756,3.361,2.372,0.474,0.366,0.326,4.0,1
V0008,Anchor Subsea Nig. Ltd.,0.942,0.492,3.963,3.975,7.948,0.072,1.0,2.0,0
V0009,Bonny Engineering Systems Ltd.,1.513,0.493,3.068,1.618,6.527,0.254,0.75,6.0,0
V0010,Atlas Pipeline Group Ltd.,1.38,0.279,4.74,2.905,9.035,0.06,0.749,5.0,0
V0011,Eastport Energy Services Ltd.,0.656,1.0,4.325,3.086,3.63,0.295,0.752,2.0,1
V0012,Anchor Marine Ltd.,0.555,0.525,2.884,2.83,8.779,0.302,0.518,2.0,0
V0013,Primewell Subsea Ltd.,1.351,0.552,3.417,1.733,4.592,0.148,1.0,2.0,0
V0014,Bonny Energy Company Ltd.,0.421,0.293,4.24,1.622,4.637,0.251,0.774,2.0,0
V0015,Harcourt Engineering Nig. Ltd.,1.864,0.05,3.752,3.776,9.534,0.143,0.675,7.0,0
V0016,Primewell Marine Systems Ltd.,0.05,0.785,3.987,0.918,12.278,0.494,1.0,9.0,0
V0017,Niger Petroleum Systems Ltd.,1.702,0.625,5.035,4.146,9.277,0.246,1.0,0.0,0
V0018,Bonny Subsea Nig. Ltd.,0.234,0.742,1.56,0.0,3.988,0.58,0.307,0.0,1
V0019,Rivers Offshore Company Ltd.,0.342,0.151,2.767,2.713,5.768,0.181,0.701,2.0,0
V0020,Trident Drilling Services Ltd.,2.05,0.688,3.776,0.732,9.058,0.283,0.747,5.0,0
V0021,Akwa Technical Partners Ltd.,1.398,0.479,3.191,2.979,3.378,0.335,0.808,6.0,0
V0022,Vanguard Offshore Systems Ltd.,0.495,0.604,2.708,2.623,8.009,0.41,0.502,5.0,0
V0023,Summit Integrated Nig. Ltd.,0.638,0.452,3.419,2.464,15.0,0.12,0.62,11.0,0
V0024,Gulf Subsea Nig. Ltd.,0.632,0.461,5.17,2.591,9.958,0.313,0.665,6.0,0
V0025,Riverside Integrated Company Ltd.,1.839,0.467,3.624,2.693,11.175,0.084,1.0,3.0,0
V0026,Meridian Drilling Group Ltd.,1.483,0.083,3.787,1.743,8.221,0.16,0.81,6.0,0
V0027,Pinnacle Integrated Ltd.,1.075,0.15,3.921,3.011,6.868,0.216,0.771,4.0,0
V0028,Riverside Offshore Nig. Ltd.,1.669,0.71,3.34,3.702,9.211,0.441,0.883,2.0,0
V0029,Coastline Subsea Ltd.,0.962,0.527,5.245,1.118,10.12,0.22,0.983,1.0,0
V0030,Niger Marine Systems Ltd.,1.671,0.557,3.872,4.381,6.027,0.133,0.89,1.0,0
V0031,Onne Maritime Systems Ltd.,0.372,0.507,3.513,3.406,3.985,0.146,0.572,4.0,0
V0032,Niger Process Group Ltd.,0.769,0.239,2.387,0.639,5.433,0.385,0.607,1.0,0
V0033,Seabright Drilling Ltd.,0.803,0.172,3.87,2.845,15.0,0.332,0.858,5.0,0
V0034,Seabright Drilling Solutions Ltd.,0.668,0.532,4.8,2.021,3.377,0.2,0.705,0.0,0
